"Time","Motor"
2024-07-31 20:06:14,87 °C
2024-07-31 20:06:15,88 °C
2024-07-31 20:06:43,87 °C
2024-07-31 20:06:44,88 °C
2024-07-31 20:06:48,87 °C
2024-07-31 20:06:49,88 °C
2024-07-31 20:06:52,87 °C
2024-07-31 20:06:53,88 °C
2024-07-31 20:06:54,87 °C
2024-07-31 20:06:57,88 °C
2024-07-31 20:06:58,87 °C
2024-07-31 20:06:59,88 °C
2024-07-31 20:07:01,87 °C
2024-07-31 20:07:02,88 °C
2024-07-31 20:07:03,87 °C
2024-07-31 20:07:04,88 °C
2024-07-31 20:07:06,87 °C
2024-07-31 20:07:07,88 °C
2024-07-31 20:07:09,87 °C
2024-07-31 20:07:21,88 °C
2024-07-31 20:07:23,87 °C
2024-07-31 20:07:42,88 °C
2024-07-31 20:07:43,87 °C
2024-07-31 20:07:52,88 °C
2024-07-31 20:07:53,87 °C
2024-07-31 20:08:12,88 °C
2024-07-31 20:08:14,87 °C
2024-07-31 20:09:29,87 °C
2024-07-31 20:34:53,87 °C
2024-07-31 20:34:55,87 °C
2024-07-31 20:34:57,87 °C
2024-07-31 20:34:58,87 °C
2024-07-31 20:35:02,87 °C
2024-07-31 20:35:05,87 °C
2024-07-31 20:35:14,87 °C
2024-07-31 20:35:15,87 °C
2024-07-31 20:35:16,87 °C
2024-07-31 20:35:19,87 °C
2024-07-31 20:35:29,87 °C
2024-07-31 20:35:30,87 °C
2024-07-31 20:35:37,87 °C
2024-07-31 20:35:38,87 °C
2024-07-31 20:35:41,87 °C
2024-07-31 20:39:20,86 °C
2024-07-31 20:39:21,87 °C
2024-07-31 20:39:45,86 °C
2024-07-31 20:39:46,87 °C
2024-07-31 20:39:48,86 °C
2024-07-31 20:39:50,87 °C
2024-07-31 20:39:58,86 °C
2024-07-31 20:39:59,87 °C
2024-07-31 20:40:01,86 °C
2024-07-31 20:40:03,87 °C
2024-07-31 20:40:08,86 °C
2024-07-31 20:40:10,87 °C
2024-07-31 20:40:12,86 °C
2024-07-31 20:40:13,87 °C
2024-07-31 20:40:14,86 °C
2024-07-31 20:40:18,87 °C
2024-07-31 20:40:23,86 °C
2024-07-31 20:40:24,87 °C
2024-07-31 20:40:25,86 °C
2024-07-31 20:40:27,87 °C
2024-07-31 20:40:28,86 °C
2024-07-31 20:40:29,87 °C
2024-07-31 20:40:31,86 °C
2024-07-31 20:40:34,87 °C
2024-07-31 20:40:36,86 °C
2024-07-31 20:40:37,87 °C
2024-07-31 20:40:38,86 °C
2024-07-31 20:40:45,87 °C
2024-07-31 20:40:46,86 °C
2024-07-31 20:40:53,87 °C
2024-07-31 20:40:54,86 °C
2024-07-31 20:41:07,87 °C
2024-07-31 20:41:09,86 °C
2024-07-31 20:56:40,86 °C
2024-07-31 20:56:41,86 °C
2024-07-31 20:56:43,86 °C
2024-07-31 20:56:44,86 °C
2024-07-31 20:56:48,86 °C
2024-07-31 20:56:50,86 °C
2024-07-31 20:56:53,86 °C
2024-07-31 20:56:57,86 °C
2024-07-31 20:56:58,86 °C
2024-07-31 20:57:01,86 °C
2024-07-31 20:57:03,86 °C
2024-07-31 20:57:07,86 °C
2024-07-31 20:57:11,86 °C
2024-07-31 20:57:12,86 °C
2024-07-31 20:57:13,86 °C
